battery_power,talk_time,clock_speed,dual_sim,int_memory,nr_cores,ram,mobile_dep,mobile_wei,screen_height,screen_width,px_height,px_width,touch_screen,three_g,four_g,wifi,bluetooth,primary_cam,front_cam,price_range
1278,19,1.2,No,60,7,3142,0.6,172,11,4,1244,1504,No,Yes,Yes,Yes,Yes,14,10,3
765,16,2.9,No,18,7,1066,0.1,153,11,1,6,793,Yes,Yes,Yes,No,No,0,0,0
625,7,1.2,Yes,10,4,3323,0.2,183,9,1,635,842,Yes,Yes,Yes,Yes,Yes,8,5,2
1300,10,0.5,No,62,6,874,0.1,156,15,3,219,1037,Yes,Yes,No,No,Yes,7,5,0
1742,3,0.5,Yes,43,3,1921,0.9,176,9,2,356,1407,Yes,Yes,Yes,No,Yes,7,5,2
1591,14,2.2,Yes,52,3,282,1,161,10,9,548,1641,Yes,Yes,Yes,Yes,Yes,16,4,0
767,6,1.9,No,19,6,2445,0.2,185,6,1,271,1000,Yes,Yes,Yes,Yes,No,17,16,1
1039,15,0.5,Yes,47,8,1742,0.2,130,18,12,384,1878,No,Yes,No,No,No,9,8,1
1933,18,2.8,Yes,16,3,838,0.5,154,14,2,229,1473,Yes,No,No,No,No,9,1,0
1076,2,2.3,Yes,14,5,2355,0.7,191,17,16,1088,1718,Yes,Yes,Yes,Yes,No,0,0,2
1642,2,1.6,Yes,5,5,1333,0.4,102,18,0,1686,1889,No,No,No,Yes,Yes,2,0,2
1995,18,1.9,No,9,6,1203,0.8,139,14,12,1830,1963,Yes,Yes,No,Yes,Yes,18,6,2
820,17,0.5,Yes,58,4,1284,0.3,160,17,7,468,694,No,No,No,Yes,No,4,2,0
1484,20,3,No,12,3,1457,0.6,134,14,4,916,969,Yes,Yes,No,No,No,5,3,1
869,12,1.9,No,2,7,3249,0.6,197,19,0,519,533,No,No,No,Yes,No,3,0,2
1330,14,1.8,Yes,40,1,2678,0.5,177,9,4,194,892,Yes,Yes,No,Yes,Yes,5,1,2
1958,3,1.9,Yes,4,2,1409,0.2,190,16,5,304,637,No,No,No,No,Yes,3,0,1
1602,13,1.6,Yes,35,7,1829,0.1,99,18,17,1325,1800,No,Yes,Yes,No,No,7,0,2
868,2,0.9,No,5,4,1519,0.4,137,13,0,40,1311,No,No,No,Yes,Yes,7,5,0
1965,16,0.5,No,4,7,3535,1,84,17,0,977,1660,Yes,Yes,Yes,Yes,No,9,6,3
1254,16,1.2,No,27,2,817,0.2,134,14,1,1288,1372,Yes,Yes,Yes,Yes,Yes,10,2,0
1206,4,3,Yes,30,3,1825,0.6,127,7,1,1581,1713,No,Yes,Yes,Yes,No,13,10,2
1154,7,1.2,Yes,49,8,978,0.2,181,5,3,541,1499,No,Yes,Yes,Yes,No,2,0,0
1128,12,1.4,No,53,5,2982,0.4,84,14,9,609,1370,Yes,Yes,No,No,Yes,14,12,3
776,7,1.7,No,20,4,685,1,146,15,11,991,1803,Yes,Yes,Yes,Yes,Yes,9,0,0
681,5,0.5,Yes,17,5,2548,0.9,194,6,1,371,1702,No,Yes,Yes,Yes,No,19,12,2
559,16,0.5,No,11,5,2019,0.4,82,10,4,541,823,Yes,Yes,No,Yes,Yes,14,10,1
1560,16,2.3,No,22,7,1938,0.8,169,15,11,745,1364,Yes,Yes,Yes,Yes,No,1,0,2
1660,7,2.8,Yes,7,1,1531,0.8,184,12,0,76,1165,No,No,No,No,No,6,4,1
1936,9,1.9,Yes,34,7,1671,0.2,182,6,1,591,1089,No,Yes,Yes,Yes,Yes,14,13,1
707,12,0.5,No,16,2,1853,0.1,194,17,14,1027,1508,Yes,Yes,Yes,Yes,No,0,0,1
1702,10,1,No,36,5,1430,0.1,177,8,6,1240,1931,No,No,No,No,No,9,7,2
1552,9,2.2,No,13,6,2403,0.2,123,9,2,269,1026,Yes,Yes,Yes,Yes,Yes,9,6,2
1354,13,0.7,Yes,26,4,2090,0.5,136,5,1,297,918,Yes,Yes,Yes,No,Yes,6,3,1
1010,12,2,Yes,8,5,2625,0.9,139,15,11,547,957,Yes,Yes,Yes,No,Yes,3,2,2
1800,18,3,No,53,1,656,0.3,87,14,10,191,1108,No,No,No,Yes,Yes,12,5,0
719,12,0.5,Yes,23,6,3990,0.4,113,14,9,431,1727,Yes,Yes,Yes,Yes,Yes,9,0,3
1576,6,0.9,Yes,14,2,3220,0.4,173,17,2,1213,1386,Yes,Yes,Yes,No,Yes,4,0,3
568,9,2,No,36,3,950,0.3,179,17,9,181,1703,No,Yes,No,No,No,4,1,0
763,9,0.5,No,51,5,2865,0.3,104,11,6,273,1278,Yes,Yes,Yes,Yes,Yes,12,9,2
1840,10,0.5,Yes,34,1,1078,0.7,142,8,0,311,1545,No,No,No,No,No,16,12,1
1748,3,1.7,Yes,14,3,3968,0.5,146,16,12,859,1234,No,Yes,Yes,Yes,No,7,6,3
852,12,1.6,Yes,54,5,1275,0.4,147,13,7,538,730,No,Yes,Yes,Yes,Yes,7,6,0
602,16,0.9,No,50,8,2189,0.9,141,7,5,1571,1717,Yes,No,No,No,No,18,9,2
1822,8,1.2,No,8,6,2577,0.2,195,9,5,172,910,Yes,Yes,No,No,No,0,0,2
852,7,1,Yes,62,7,2253,0.7,104,17,4,293,1159,Yes,Yes,Yes,No,No,13,4,1
1211,14,1.2,No,28,2,2750,0.3,130,6,1,58,963,Yes,No,No,No,Yes,3,0,2
614,11,1.7,Yes,58,7,3487,0.2,128,15,6,22,519,Yes,Yes,Yes,Yes,No,2,0,2
840,19,0.9,Yes,33,6,2072,0.7,150,10,8,1482,1591,Yes,No,No,No,No,7,6,2
1703,17,0.5,No,23,6,793,0.2,92,7,3,134,521,Yes,Yes,Yes,No,Yes,7,5,0
1504,10,2.3,Yes,64,1,3059,0.9,182,6,5,19,1923,Yes,No,No,No,No,2,1,3
1180,19,2.5,No,27,6,348,0.1,90,7,5,168,540,Yes,Yes,Yes,Yes,Yes,1,0,0
1694,6,1.8,No,53,6,1653,1,186,7,5,1194,1208,No,Yes,No,No,No,0,0,2
1792,15,1,No,62,7,2563,0.3,170,18,14,1626,1913,No,Yes,Yes,Yes,Yes,8,3,3
1652,6,0.6,Yes,40,7,3592,1,198,7,6,352,1084,No,Yes,Yes,No,No,6,4,3
1379,7,2.1,Yes,63,1,651,1,83,9,6,207,1370,Yes,Yes,Yes,No,Yes,17,14,0
1130,11,1.8,Yes,27,1,315,0.9,101,14,5,1495,1579,Yes,Yes,No,No,No,8,0,0
1348,12,2,Yes,36,6,2554,0.3,145,19,1,468,741,Yes,No,No,No,Yes,6,5,2
553,20,2.2,Yes,18,2,3300,0.7,136,12,10,1287,1892,No,Yes,Yes,No,Yes,1,0,3
641,19,1.1,No,7,1,3595,0.9,192,7,5,417,759,Yes,Yes,Yes,Yes,Yes,3,0,2
1777,10,2.2,Yes,15,4,1552,0.2,100,10,8,553,874,Yes,Yes,No,No,No,7,0,1
906,16,2.1,Yes,18,2,3412,0.1,136,13,8,1102,1793,No,Yes,No,No,No,11,7,3
1567,10,2.1,Yes,22,3,3991,0.8,153,15,2,190,1326,No,Yes,No,No,No,19,3,3
1602,2,2.7,No,46,1,1862,0.6,118,16,9,273,1062,No,Yes,Yes,Yes,No,5,4,1
1281,9,2.8,Yes,8,4,1851,0.3,144,8,2,590,954,Yes,Yes,Yes,No,Yes,19,3,1
947,6,0.5,No,51,2,2915,0.1,144,17,1,193,887,Yes,Yes,Yes,Yes,Yes,15,1,2
1159,18,1.5,No,36,4,2115,0.4,104,8,7,717,1206,No,No,No,No,No,8,3,2
606,7,2.5,No,53,4,1223,0.2,146,19,12,465,1152,No,Yes,Yes,No,No,2,1,0
1122,20,0.5,No,40,7,1456,0.3,156,9,3,675,1163,Yes,Yes,Yes,No,No,14,0,1
1461,4,2.4,Yes,40,7,3799,0.5,141,16,1,1265,1298,No,Yes,Yes,No,No,4,3,3
1309,11,1.1,Yes,33,4,2334,0.5,100,10,1,557,1402,No,Yes,No,Yes,No,14,0,2
1727,6,2.1,Yes,57,6,512,0.3,158,5,2,376,1288,No,No,No,No,Yes,18,10,0
957,3,0.7,No,4,2,1898,0.1,160,12,4,38,1682,Yes,Yes,Yes,No,Yes,0,0,1
686,13,2.7,Yes,36,4,1503,0.1,194,10,0,64,745,No,No,No,No,Yes,1,0,0
703,7,2.7,No,30,1,1472,0.3,113,14,7,218,1065,No,Yes,Yes,No,Yes,20,12,0
864,16,3,Yes,54,2,3121,0.7,187,18,2,127,1670,Yes,Yes,Yes,Yes,Yes,1,0,2
1136,8,1.6,No,32,6,3210,0.5,150,10,3,961,1030,Yes,Yes,No,Yes,Yes,19,15,3
1821,6,0.9,No,12,1,2430,0.3,114,7,4,97,1803,Yes,Yes,Yes,Yes,No,18,9,2
1611,6,0.5,Yes,27,1,3078,0.9,199,15,2,163,1011,No,Yes,Yes,Yes,No,10,4,2
962,20,1.1,Yes,17,8,3438,0.1,161,14,3,546,1424,No,No,No,No,Yes,20,3,3
744,19,1.7,Yes,33,4,2700,0.5,105,9,3,1252,1963,No,Yes,Yes,No,No,2,0,2
1805,17,0.5,No,29,4,1276,0.2,182,19,4,758,891,Yes,No,No,No,Yes,2,0,1
1039,5,2.7,No,56,8,3105,0.3,125,14,8,497,618,Yes,No,No,Yes,Yes,13,11,2
1814,16,1.4,Yes,9,2,3556,0.4,141,18,12,756,786,No,Yes,Yes,No,No,2,1,3
1541,7,2.8,Yes,28,5,1108,0.2,165,12,1,796,1052,No,Yes,Yes,Yes,Yes,15,10,1
1924,19,0.5,No,63,2,3423,0.3,111,13,3,122,686,No,Yes,Yes,No,No,10,3,3
673,4,1.9,No,35,6,3541,0.4,142,18,17,1096,1570,No,Yes,Yes,Yes,Yes,14,13,3
1215,15,1,No,16,4,2632,0.1,130,7,1,454,1473,No,No,No,Yes,No,8,4,2
1692,19,2.1,No,61,6,1354,0.9,176,16,7,975,1996,No,Yes,Yes,No,Yes,12,3,1
1642,17,0.5,Yes,8,6,2984,0.3,171,13,4,129,873,No,Yes,Yes,Yes,No,17,16,2
1753,12,1.2,No,12,7,1445,0.9,113,17,16,387,1595,Yes,Yes,Yes,Yes,No,17,8,1
1429,18,1.5,Yes,40,3,3945,0.9,100,11,7,246,820,No,Yes,Yes,Yes,No,14,0,3
1526,8,1.1,Yes,38,5,3317,0.3,116,7,1,798,1418,Yes,Yes,Yes,Yes,No,6,2,3
596,10,2.1,Yes,64,8,3238,0.8,111,16,13,885,1854,No,No,No,No,No,15,9,3
1027,12,0.5,No,64,2,3786,0.9,103,17,12,1698,1747,No,Yes,Yes,No,No,7,2,3
1701,6,1.6,Yes,10,8,2598,0.3,194,12,9,550,1338,Yes,No,No,No,Yes,7,3,2
1313,6,1.8,Yes,9,1,3791,0.4,105,11,10,416,1308,Yes,No,No,Yes,Yes,6,4,3
1184,14,1.5,Yes,48,1,3315,0.6,191,17,7,519,1577,Yes,Yes,Yes,Yes,No,6,1,3
1802,7,1.2,Yes,27,5,1885,0.5,116,10,9,453,963,Yes,Yes,No,No,Yes,16,8,2
1979,14,1.6,Yes,32,7,452,0.2,165,13,6,833,1630,Yes,No,No,No,Yes,1,0,0
1074,18,2.4,Yes,9,6,1948,0.9,103,13,1,946,952,Yes,Yes,Yes,Yes,No,14,2,1
1624,2,1.6,Yes,28,2,2473,0.4,150,16,11,689,699,No,Yes,No,No,No,10,8,2
1020,8,1.5,No,7,3,1142,0.7,96,13,9,870,1613,No,Yes,Yes,Yes,No,18,13,1
530,6,2.4,No,32,6,959,0.3,88,17,7,48,1012,Yes,No,No,No,No,20,1,0
1699,18,0.5,No,21,4,1181,0.1,156,16,0,105,1099,Yes,Yes,No,No,Yes,20,16,1
1849,15,0.5,No,29,7,3330,0.5,181,14,4,978,1986,No,Yes,No,Yes,Yes,12,1,3
1514,20,2.9,No,27,3,1152,0.2,118,8,3,186,1810,Yes,No,No,Yes,No,1,0,1
510,5,2.6,No,33,6,1693,0.1,110,6,2,1052,1897,Yes,No,No,No,No,10,0,1
689,10,1.4,No,45,5,3585,0.5,103,10,1,256,823,No,Yes,No,No,No,11,2,3
509,12,0.6,Yes,9,5,513,0.1,93,19,10,1137,1224,No,Yes,Yes,No,Yes,15,2,0
508,10,1.6,Yes,9,6,2616,0.4,162,18,8,1419,1920,Yes,Yes,No,Yes,No,2,0,2
1081,7,1.9,Yes,42,7,2456,0.1,101,7,4,83,816,No,Yes,Yes,No,Yes,17,13,1
1902,15,0.5,No,13,4,940,0.2,155,14,10,766,877,Yes,Yes,No,No,No,11,10,1
921,6,0.6,Yes,60,2,1080,0.1,83,10,0,1211,1229,No,No,No,Yes,No,3,1,0
1747,19,0.9,No,48,3,2362,0.7,94,17,2,947,1131,Yes,Yes,Yes,No,Yes,19,6,2
1554,18,0.5,Yes,5,3,3635,1,124,7,4,395,1579,No,No,No,No,Yes,12,11,3
1030,18,1.6,Yes,58,6,2858,0.2,138,6,2,1111,1812,Yes,Yes,Yes,Yes,No,20,3,3
1524,16,2.6,Yes,57,2,947,0.5,124,11,4,629,635,Yes,No,No,Yes,No,12,5,0
709,16,2,Yes,35,1,1973,0.1,136,12,9,1545,1596,Yes,No,No,Yes,Yes,0,0,1
1356,19,2.8,No,29,6,3702,0.5,198,17,0,1612,1983,No,No,No,No,No,0,0,3
843,14,1.3,Yes,16,7,1734,0.9,119,17,8,593,732,No,No,No,Yes,No,4,1,1
1765,18,1.1,No,11,2,3695,0.7,87,6,5,835,1175,No,Yes,No,No,No,7,3,3
1431,8,0.5,No,56,1,461,0.6,191,7,3,156,952,No,Yes,Yes,No,Yes,1,0,0
1030,12,0.5,No,37,1,2800,0.7,147,8,6,503,551,No,Yes,Yes,Yes,Yes,8,4,2
1476,6,0.5,No,43,2,3644,0.7,148,15,10,1789,1972,No,Yes,Yes,Yes,No,2,0,3
1322,6,2.3,Yes,35,1,3684,0.1,157,15,8,443,708,No,Yes,Yes,No,No,3,1,3
1786,17,1.2,No,61,3,3033,0.1,123,14,11,74,865,Yes,No,No,No,No,14,11,3
718,9,0.7,Yes,21,1,1754,0.8,88,17,11,518,830,No,Yes,Yes,Yes,No,7,0,1
1359,17,0.6,No,59,2,3142,0.3,86,19,3,1692,1902,Yes,No,No,Yes,No,6,4,3
1575,17,2.5,Yes,11,7,2182,0.2,185,7,3,492,818,Yes,Yes,Yes,No,No,20,0,2
1607,14,1.1,Yes,20,2,885,1,192,11,1,776,1005,Yes,Yes,Yes,No,No,8,6,0
835,13,0.8,Yes,42,5,2583,0.8,128,15,2,396,1378,Yes,Yes,Yes,Yes,No,18,2,2
790,9,0.5,Yes,44,8,3424,0.1,89,13,11,1100,1437,Yes,Yes,Yes,No,No,8,7,3
1269,5,1.3,No,52,2,665,0.8,118,18,5,1597,1920,No,No,No,No,Yes,15,14,1
1930,13,2,No,16,8,1783,0.8,186,17,3,1901,1920,No,No,No,Yes,Yes,12,11,2
1692,6,2.3,Yes,46,1,1394,0.9,139,16,10,674,1925,Yes,Yes,Yes,No,No,6,4,1
1673,20,1.6,No,42,5,3094,0.5,182,12,4,214,679,No,No,No,No,Yes,6,2,2
1688,8,2.5,No,21,7,3984,0.2,170,17,14,650,864,Yes,Yes,Yes,Yes,No,0,0,3
571,18,0.6,No,43,3,2587,0.5,141,7,5,224,783,No,Yes,Yes,No,No,8,1,1
1768,5,2,No,2,7,3256,0.8,88,9,6,1303,1814,Yes,Yes,Yes,No,Yes,2,0,3
1218,12,2.8,Yes,39,7,1667,0.8,150,10,0,1122,1746,No,No,No,No,Yes,14,3,1
1538,12,2.3,No,13,7,1494,0.2,121,18,10,567,986,Yes,Yes,Yes,Yes,Yes,7,6,1
1864,18,1.4,No,46,1,2686,0.7,178,11,7,168,981,Yes,Yes,Yes,Yes,No,12,8,2
586,7,0.6,No,42,7,1869,0.3,121,12,2,785,1118,Yes,Yes,Yes,Yes,Yes,17,16,1
547,10,1.9,Yes,37,5,2705,0.4,154,17,3,371,541,Yes,Yes,No,No,No,4,1,1
644,15,2.7,No,22,8,1262,0.7,157,12,1,311,881,No,Yes,No,No,Yes,3,0,0
1138,3,1.4,No,44,8,3475,0.2,187,19,3,111,1138,No,Yes,Yes,No,No,17,12,3
560,18,0.5,No,23,8,2360,1,146,17,16,356,1903,Yes,No,No,Yes,No,15,14,1
511,14,3,Yes,34,8,3265,0.9,125,14,7,149,1285,No,Yes,Yes,No,Yes,13,5,2
1949,20,1.3,Yes,23,5,2478,0.1,101,14,8,839,1136,No,Yes,No,No,No,1,0,3
1528,11,1.8,Yes,55,5,1282,0.8,129,11,9,454,1762,Yes,Yes,Yes,Yes,Yes,6,3,1
614,4,2.9,Yes,24,4,1930,0.2,94,13,12,409,603,No,Yes,Yes,Yes,No,7,3,1
1248,13,2.4,No,9,3,2454,0.4,89,9,8,71,1686,Yes,Yes,Yes,No,No,8,6,2
600,9,0.5,No,14,5,1655,0.8,112,18,0,320,747,No,No,No,No,No,2,0,0
1786,14,2.6,No,14,4,3038,1,115,18,0,616,912,No,Yes,No,No,No,15,6,3
1456,13,1.6,Yes,39,8,3998,0.1,80,6,3,815,1666,Yes,Yes,Yes,No,No,10,9,3
1830,11,1,No,47,1,3362,0.3,117,13,10,1191,1882,No,Yes,Yes,No,Yes,11,7,3
1640,5,0.7,No,21,7,337,0.8,169,16,3,589,1301,Yes,Yes,Yes,No,Yes,14,10,0
1793,6,2.7,No,44,5,2803,0.7,175,19,9,655,1459,Yes,Yes,Yes,Yes,No,17,12,3
781,9,1.3,Yes,64,2,3862,0.2,88,17,10,368,607,No,No,No,No,Yes,7,1,3
713,12,1.6,No,63,2,2082,0.7,89,15,10,103,1760,No,Yes,Yes,No,No,8,4,1
1496,7,2,Yes,42,5,854,0.5,182,16,0,96,741,Yes,No,No,Yes,Yes,5,4,0
1520,13,2.2,No,33,8,3826,0.5,177,14,9,151,1005,Yes,Yes,Yes,Yes,Yes,18,5,3
1114,17,2.8,No,9,3,907,0.4,197,10,7,1040,1071,Yes,Yes,Yes,No,No,15,4,0
723,17,1.9,No,30,1,2339,0.3,102,19,9,1467,1901,Yes,No,No,Yes,Yes,7,4,2
1545,6,1.3,Yes,35,5,3197,0.1,173,14,9,115,1352,No,Yes,Yes,Yes,No,20,15,3
1884,7,2.1,Yes,43,1,3619,0.8,185,14,8,451,819,Yes,Yes,Yes,Yes,No,18,7,3
1549,11,1.5,Yes,27,5,436,0.4,113,10,8,632,1162,No,Yes,Yes,No,Yes,7,0,0
856,12,1.9,Yes,14,1,2439,0.6,115,6,3,395,1027,Yes,Yes,Yes,Yes,No,7,0,1
531,20,0.5,Yes,12,4,2331,0.5,121,18,12,158,1657,No,Yes,Yes,Yes,Yes,3,0,1
1815,2,2.8,No,33,4,1482,0.6,159,18,0,607,748,No,Yes,No,No,No,17,2,1
815,6,2,Yes,51,6,3469,0.3,85,5,4,982,1291,No,Yes,No,Yes,No,12,4,3
1977,14,2,Yes,54,7,1971,1,171,18,7,1226,1242,Yes,Yes,Yes,No,Yes,18,7,2
649,2,1.4,No,19,7,739,0.8,190,18,1,344,1551,Yes,Yes,Yes,No,Yes,12,4,0
667,12,1.3,Yes,6,6,3566,0.1,149,9,5,272,870,No,Yes,Yes,Yes,No,10,4,2
1265,8,0.6,Yes,49,1,1518,0.5,90,16,11,275,687,No,Yes,Yes,Yes,No,5,4,1
718,3,2.8,No,59,6,1824,0.8,113,11,9,1185,1387,Yes,Yes,No,No,No,13,10,1
984,16,2.2,Yes,39,8,2013,0.5,119,11,7,56,1931,Yes,Yes,Yes,No,Yes,18,0,1
1067,13,1.8,Yes,14,1,966,0.2,146,5,0,965,1009,No,No,No,Yes,No,15,11,0
788,6,2.5,Yes,57,8,3969,0.9,91,12,8,42,1161,Yes,Yes,Yes,Yes,No,12,4,3
1672,7,1.7,Yes,44,8,1348,0.5,172,11,6,1250,1435,Yes,Yes,Yes,Yes,Yes,4,1,1
1424,16,0.5,Yes,23,4,1053,0.6,80,14,11,1399,1663,Yes,Yes,Yes,Yes,No,18,16,1
1162,20,2,No,56,7,1652,0.7,114,5,0,56,997,No,Yes,Yes,No,No,1,0,1
1547,15,3,Yes,14,3,2059,0.7,198,5,0,1042,1832,No,Yes,Yes,Yes,Yes,19,2,2
822,3,0.5,No,51,6,3846,0.3,157,10,1,667,860,No,Yes,Yes,No,Yes,20,0,3
1007,16,2,No,45,5,3648,0.1,95,9,0,1186,1529,No,No,No,No,No,2,0,3
1695,11,0.5,Yes,47,5,1629,0.5,189,8,6,308,1208,Yes,Yes,Yes,No,Yes,13,2,1
1742,6,1.6,No,49,1,1947,0.8,100,5,4,1134,1469,No,Yes,No,Yes,Yes,9,3,2
1697,11,0.5,No,60,4,441,0.1,90,15,1,88,1046,Yes,Yes,Yes,No,No,0,0,0
987,14,2.3,No,17,7,3885,0.8,124,11,0,887,1274,Yes,Yes,No,No,Yes,17,9,3
599,7,2.9,No,64,8,3396,0.3,186,5,3,103,646,No,Yes,Yes,No,Yes,1,0,2
946,13,1.7,Yes,25,6,2177,0.8,143,7,5,650,1740,Yes,Yes,Yes,Yes,No,15,8,2
1530,19,2,No,42,6,725,0.8,177,11,10,454,1975,No,No,No,Yes,No,13,11,0
1236,14,2.8,No,32,4,942,0.3,143,16,12,492,1403,Yes,Yes,Yes,Yes,Yes,18,6,0
539,15,1.5,No,26,6,3948,0.2,137,18,11,1123,1709,Yes,Yes,Yes,Yes,No,8,6,3
1913,8,1.8,No,29,5,2023,0.6,111,17,13,675,742,Yes,Yes,No,No,Yes,4,0,2
805,2,1.7,Yes,58,3,3397,0.9,168,7,6,81,1544,No,Yes,Yes,No,Yes,10,0,2
1975,19,1.9,Yes,31,1,3022,0.9,151,13,5,775,1607,No,No,No,Yes,Yes,17,2,3
1685,17,0.6,No,16,7,881,0.6,137,6,3,120,1429,Yes,No,No,Yes,No,15,14,0
1444,15,0.6,No,48,5,2540,0.5,82,17,2,1092,1554,Yes,Yes,No,Yes,No,17,2,3
1142,5,1.4,Yes,6,8,663,0.7,190,12,4,534,855,Yes,No,No,Yes,Yes,8,6,0
956,12,0.5,No,41,7,3286,1,143,17,8,511,1075,Yes,Yes,Yes,No,No,6,1,3
783,6,1.7,Yes,27,6,1185,0.3,150,15,4,458,1263,Yes,Yes,Yes,Yes,Yes,11,9,0
907,8,2.6,Yes,44,3,3911,0.2,160,13,6,144,896,No,No,No,No,Yes,12,7,3
1110,18,0.6,No,42,5,456,0.9,192,12,8,1179,1262,Yes,Yes,No,No,No,2,1,0
1677,12,1.8,Yes,11,6,3771,0.7,124,15,6,271,1477,No,Yes,No,No,No,8,4,3
648,4,1.8,No,60,4,819,0.1,195,10,3,931,1811,No,Yes,Yes,No,Yes,4,1,0
1627,16,0.9,Yes,32,6,3206,0.1,180,12,6,52,1082,Yes,Yes,Yes,No,No,16,9,3
1133,20,1.4,No,42,5,1457,0.1,199,18,12,730,1543,No,Yes,No,Yes,No,12,3,1
963,16,0.5,No,60,3,2722,0.8,156,12,6,742,821,No,Yes,Yes,No,No,3,1,2
1042,20,2.7,Yes,50,7,3215,0.8,93,18,0,727,1705,Yes,Yes,Yes,Yes,No,18,16,3
819,15,2.5,Yes,11,8,1094,0.2,83,10,5,438,822,No,Yes,Yes,No,Yes,1,0,0
787,14,0.5,No,11,1,2934,0.6,93,8,6,806,1423,No,Yes,No,Yes,Yes,16,15,2
569,7,0.6,Yes,39,8,2811,0.1,184,7,6,389,739,No,Yes,No,Yes,No,9,2,1
1953,4,2.1,Yes,56,8,2334,0.1,158,11,5,555,764,No,Yes,No,No,Yes,9,7,2
580,11,1.2,Yes,47,3,3451,0.9,91,15,1,1086,1345,Yes,Yes,No,No,Yes,1,0,3
1969,10,1.2,Yes,63,4,298,0.2,132,10,1,390,756,Yes,Yes,No,No,No,11,9,0
812,2,0.5,Yes,64,4,3102,1,106,6,0,35,1309,No,No,No,No,No,7,1,2
1049,13,2.2,No,63,5,1022,0.5,135,11,3,199,1077,No,No,No,No,Yes,17,9,0
1589,20,2.6,No,46,3,2373,0.4,84,11,9,618,940,Yes,Yes,No,No,No,16,9,2
1786,7,0.5,No,58,7,2764,0.7,161,9,3,231,1671,Yes,Yes,Yes,Yes,No,10,9,3
1533,11,1.1,Yes,17,4,2520,0.3,160,8,2,1054,1393,No,Yes,Yes,Yes,Yes,20,18,2
1442,7,2.2,No,56,5,1513,0.7,145,11,8,1626,1668,Yes,Yes,Yes,No,No,3,0,2
1854,20,3,No,8,5,1886,0.1,101,17,4,506,627,Yes,Yes,Yes,No,No,5,2,1
705,18,0.5,No,57,6,1509,0.9,155,15,11,1114,1374,Yes,Yes,Yes,Yes,Yes,9,5,1
1414,8,2.6,No,27,4,312,0.6,137,5,2,804,1564,No,No,No,Yes,No,20,1,0
570,14,0.5,Yes,9,7,3663,0.3,111,14,10,1331,1917,No,No,No,No,Yes,5,2,3
1089,13,1.4,Yes,2,7,2620,0.1,153,7,5,211,1409,No,Yes,No,No,No,20,10,2
775,9,2.6,No,30,7,2523,0.4,189,17,16,561,1510,No,Yes,No,Yes,Yes,10,0,2
1979,2,2.9,Yes,19,3,411,1,176,8,2,1331,1532,Yes,Yes,Yes,Yes,Yes,9,0,0
1179,18,0.8,No,5,5,543,0.9,154,8,7,913,1429,No,No,No,Yes,Yes,17,1,0
1278,20,0.5,Yes,54,8,1155,0.1,104,7,1,581,750,No,No,No,Yes,Yes,16,1,0
1960,11,2.3,Yes,61,7,3865,0.3,86,10,7,205,1299,No,Yes,Yes,No,Yes,3,1,3
618,17,0.5,Yes,57,3,2399,0.2,88,18,15,879,896,Yes,Yes,Yes,Yes,Yes,7,2,1
1264,3,2.9,Yes,34,3,419,0.2,171,7,4,562,849,Yes,Yes,Yes,Yes,No,3,2,0
892,9,0.5,No,47,1,1241,0.4,94,12,3,655,1782,No,Yes,Yes,Yes,Yes,18,0,1
1829,12,0.5,No,15,5,2080,0.4,160,16,11,729,1267,No,Yes,Yes,Yes,Yes,7,0,2
1433,4,1.6,No,4,8,258,0.7,133,11,9,281,799,Yes,Yes,No,Yes,No,11,7,0
503,9,1.8,Yes,13,1,3117,0.7,131,19,6,1495,1688,No,Yes,Yes,Yes,Yes,4,1,3
618,5,2.2,Yes,63,2,2574,0.9,138,14,3,853,1781,Yes,Yes,Yes,No,Yes,1,0,2
1587,4,0.5,No,50,8,461,0.9,148,17,4,299,874,No,Yes,No,Yes,Yes,15,0,0
1783,7,0.5,No,14,8,1816,0.6,183,12,7,910,1566,No,No,No,Yes,Yes,11,8,2
1881,14,2.2,No,51,5,1229,0.3,158,12,0,477,1553,No,Yes,No,No,No,7,4,1
684,12,0.9,Yes,63,5,3756,1,157,17,5,159,1738,Yes,Yes,Yes,Yes,Yes,9,3,3
601,9,1.7,Yes,6,4,2651,0.8,169,14,8,818,1827,No,Yes,Yes,Yes,Yes,11,3,2
1732,20,0.8,No,61,5,3940,0.3,172,17,11,201,656,Yes,No,No,Yes,No,3,2,3
991,10,2,No,12,5,2014,0.3,158,11,9,1209,1678,No,Yes,Yes,No,No,6,2,2
1237,8,0.5,No,27,8,2454,0.1,87,14,0,274,603,Yes,Yes,No,Yes,No,5,2,2
1086,17,1.7,Yes,43,6,3285,0.2,111,11,5,56,1150,Yes,Yes,Yes,No,Yes,1,0,2
1148,11,2.3,Yes,58,5,3127,0.3,170,10,7,606,688,No,Yes,Yes,No,No,20,0,2
919,17,0.5,Yes,13,1,1028,0.3,159,8,4,275,570,No,Yes,No,No,No,15,11,0
1945,15,1.6,No,21,3,3015,0.7,113,6,1,280,895,No,No,No,No,No,10,4,3
1270,16,2.3,No,58,5,3299,0.5,104,13,4,1512,1716,No,No,No,Yes,Yes,1,0,3
1487,3,1.5,No,42,2,2003,0.8,120,12,4,857,989,No,Yes,Yes,No,No,7,5,2
